booking_id,charge_description,statute,crime_type,crime_class
20180103112,IVC - AGG DUI/NO VALID DL,625-5/11-501-D-1-H,F,4
20180103112,TN-503-025,625-5/11-501-A-2,T,3
20180103112,TN-503-026,625-5/3-707,T,3
20180103112,TN-503-027,625-5/11-902,T,3
20180103112,TN-503-028,625-5/11-502,T,3
20180103112,TN-503-029,625-5/6-303-A,T,3
20180103112,TN-503-030,625-5/6-101,T,3
20180103120,AGG UUW/PERSON/<21,720-5/24-1.6-A-2,F,4
20180103120,FIREARM W/O VALID FOID/ELIG,430-65/2-A-1,M,A
20180103120,POSS FIREARM W/DEFACED SE,720-5/24-5-B,F,3
20180103126,THEFT CON INTENT <$500 PRIOR,720 ILCS 5/16-1(a)(1)(A),F,4
20180103127,AGG ASSAULT PC OFFICER/VOLUNT,720-5/12-2-B-4,M,A
20180103127,CRIM TRESPASS TO STATE LAND,720-5/21-5-A,M,A
20180103127,CRIMINAL TRESPASS TO LAND,720-5/21-3-A-2,M,B
20180103166,MURDER/INTENT TO KILL/INJ,720-5/9-1(A)(1),F,M
20180103166,MURDER/STRONG PROB KILL/I,720-5/9-1(A)(2),F,M
20180103187,AGG DUI/3,625-5/11-501(A),F,2
20180103187,AGG DUI/4,625-5/11-501(A),F,2
20180103187,AGG DUI/LIC SUSP OR REVOK,625-5/11-501(A),F,4
20180103187,AGG DUI/NO VALID DL,625-5/11-501(A),F,4
20180103187,DRIVING RVK/SUSP DUI/SSS,625-5/6-303(A),F,4
20180103187,DRIVING RVK/SUSP DUI/SSS 10-1,625-5/6-303(A),F,3
20180103187,DRIVING RVK/SUSP DUI/SSS 4-9,625-5/6-303(a),F,4
20180103187,VIOLATION OF BAIL BOND,725-5/110-S(A)&(E),F,4
20180103188,AGG DUI INVOLVING GREAT BODIL,625-5/11-501(D)(1)(C),F,4
20180104001,AGG BATTERY/USE DEADLY WEAPON,720-5/12-3.05(F)(1),F,3
20180104001,AGGRAVATED DOMESTIC BATTERY,720-5/12-3.3(A),F,2
20180104001,ATTEMPT MURDER/INTENT TO KILL,720 - 5/8-4(A)(720-5,F,X
20180104001,DOMESTIC BATTERY/OTHER PRIOR,720-5/12-3.2(A)(1),F,4
20180104003,AGG BATTERY/DISCHARGE FIR,720-5/12-3.05(E)(1),F,X
20180104003,AGG BATTERY/DISCHARGE FIREARM,720 ILCS 5/12-3.05(e)(1),F,X
20180104003,AGG DISCHARGE FIREARM/OCC,720-5/24-1.2(A)(2),F,1
20180104003,ATTEMPT MURDER/INTENT TO KILL,720 - 5/8-4(A)(720-5,F,X
20180104020,ARMED ROBBERY/ARMED W/FIREARM,720-5/18-2(A)(2),F,X
20180104020,FORGERY - ISSUE/DELIVER DOCUM,720-5/17-3-A-2,F,3
20180104020,FORGERY/ISSUE/DELIVER DOCUMENT,720 ILCS 5/17-3(a)(2),F,3
20180104020,OBSTRUCTING IDENTIFICATION,720-5/31-4.5-A,M,A
20180104020,TN-169-674,625-5/12-603.1,T,X
20180104020,TN-169-675,625-5/6-303-A,T,X
20180104020,TN-169-676,625-5/3-707,T,X
20180104023,AGG BATTERY/PUBLIC PLACE,720-5/12-3.05(C),F,3
20180104023,AGGRAVATED KIDNAPING/ARMED,720-5/10-2(A)(5),F,X
20180104023,AGGRAVATED UNLAWFUL RESTRAINT,720-5/10-3.1(A),F,3
20180104023,ARMED ROBBERY/NO FIREARM,720-5/18-2(A)(1),F,X
20180104023,CRIM TRESPASS TO RESIDENCE,720-5/19-4-A-1,M,A
20180104023,CTA - WEAPONS ON (98-126-1.15,10-8-526,M,L
20180104023,ROBBERY - ARMED - OTHER DANGE,720-5/18-2-A-1,F,X
20180104024,,720-5/12-3A1,M,B
20180104024,AGG ROBBERY/INDICATE ARM W/FIR,720 ILCS 5/18-1(b)(1),F,1
20180104024,AGG UUW/VEH/PREV CONVICTION,720 ILCS 5/24-1.6(a)(1),F,2
20180104024,BATTERY,720 ILCS 5/12-3,M,A
20180104024,RESIDENTIAL BURGLARY,720-5/19-3(A),F,1
20180104024,ROBBERY,720-5/18-1(A),F,2
20180104024,THEFT CONTROL INTENT $500<10K,720-5/16-1(A)(1)(A),F,3
20180104044,DRIVING RVK/SUSP DUI/SSS 2ND,625-5/6-303-A,F,4
20180104044,IVC - AGG DUI/LIC SUSP OR REV,625-5/11-501,F,4
20180104044,YE622852,625-5/11-306,T,A
20180104044,YE622853,625-5/11-601-B,T,A
20180104044,YE622854,625-5/3-707,T,A
20180104044,YE622855,625-5/11-502-A,T,P
20180104044,YE622856,625-5/11-601-B,T,P
20180104044,YE622857,625-5/3-707,T,U
20180104044,YE622858,625-5/3-707,T,U
20180104051,AGG BATTERY/PUBLIC PLACE,720-5/12-3.05(C),F,3
20180104051,AGGRAVATED UNLAWFUL RESTR,720-5/10-3.1(A),F,3
20180104051,ARMED ROBBERY/NO FIREARM,720-5/18-2(A)(1),F,X
20180104051,ROBBERY,720-5/18-1(A),F,2
20180104055,AGG UUW/VEH/PREV CONVICTION,720-5/24-1.6(A)(1),F,2
20180104055,ARMED VIOLENCE/CATEGORY I,720-5/33A-2(A),F,X
20180104055,FELON POSS/USE WEAPON/FIREARM,720-5/24-1.1(a),F,3
20180104055,MFG/DEL 1<15 GR COCAINE/ANLG,720-570/401(C)(2),F,1
20180104055,MFG/DEL COCAINE/SCH/PUB HS/PK,720-570/407-B-1,F,X
20180104055,OTHER AMT NARCOTIC SCHED I&II,720-570/401(D)(I),F,2
20180104055,POSS FIR FOID EXPIRED/NOT ELIG,430-65/2(a)(1),F,3
20180104062,BURGLARY,720-5/19-1-A,F,2
20180104063,MFG/DEL COCAINE/SCH/PUB H,720-570/407-B-,F,X
20180104063,PCS - POSSESSION - POSS AMT C,720-570/402-C,F,4
20180104069,AGG BATTERY/PUBLIC PLACE,720-5/12-3.05(C),F,3
20180104069,AGG UUW/LOADED/NO FCCA/FOID,720-5/24-1.6(A)(1),F,4
20180104069,AGG UUW/PERS/LOAD/NO FCCA/FOID,720-5/24-1.6(a)(2),F,4
20180104069,AGG UUW/PERSON/<21,720-5/24-1.6(a)(2),F,4
20180104069,AGG UUW/PERSON/LOADED/NO FCCA,720-5/24-1.6(A)(2),F,4
20180104069,AGG UUW/PERSON/NO FOID,720-5/24-1.6(A)(2),F,4
20180104069,AGG UUW/VEHICLE/<21,720-5/24-1.6(A)(1),F,4
20180104069,AGG UUW/VEHICLE/LOADED/NO FCC,720-5/24-1.6(A)(1),F,4
20180104069,AGG UUW/VEHICLE/NO FOID,720-5/24-1.6(A)(1),F,4
20180104069,ROBBERY,720-5/18-1(A),F,2
20180104069,UNLAWFUL RESTRAINT,720-5/10-3,F,4
20180104069,VEHICULAR HIJACKING,720-5/18-3(A),F,1
20180104071,AGG UUW/PERSON/PREV CONVICTIO,720-5/24-1.6(A)(2),F,2
20180104071,AGG UUW/VEH/PREV CONVICTION,720-5/24-1.6(A)(1),F,2
20180104071,FELON POSS/USE WEAPON/FIREARM,720-5/24-1.1(a),F,3
