event_id,booking_id,bed_start_date_time,bed_assignment,facility,section,cell
bm_20140322093_2017-06-28 11:06:00,20140322093,2017-06-28 11:06:00,DIV10-4D-4411-2,Division 10,DIV10-4D,DIV10-4D-4411
bm_20170517095_2017-08-26 05:00:00,20170517095,2017-08-26 05:00:00,DIV 15-JF-JEFFERSON CO-GENERAL,Division 15,DIV15-JF,DIV15-JF-JEFFERSON CO
bm_20160215011_2017-09-04 07:00:00,20160215011,2017-09-04 07:00:00,DIV 15-JF-JEFFERSON CO-GENERAL,Division 15,DIV15-JF,DIV15-JF-JEFFERSON CO
bm_20160912204_2017-09-15 14:30:00,20160912204,2017-09-15 14:30:00,DIV 15-HP-HOSPITAL-GENERAL,Division 15,DIV15-HP,DIV15-HP-HOSPITAL
bm_20161124014_2017-09-09 09:30:00,20161124014,2017-09-09 09:30:00,DIV 15-LV-LIVINGSTON CO-GENERAL,Division 15,DIV15-LV,DIV15-LV-LIVINGSTON CO
bm_20130420001_2017-08-19 09:52:00,20130420001,2017-08-19 09:52:00,DIV 15-LV-LIVINGSTON CO-GENERAL,Division 15,DIV15-LV,DIV15-LV-LIVINGSTON CO
bm_20170119148_2017-09-11 07:00:00,20170119148,2017-09-11 07:00:00,DIV 15-LV-LIVINGSTON CO-GENERAL,Division 15,DIV15-LV,DIV15-LV-LIVINGSTON CO
bm_20160425010_2017-09-23 00:00:00,20160425010,2017-09-23 00:00:00,DIV6-2L-4-1,Division 6,DIV6-2L,DIV6-2L-4
bm_20170831190_2017-09-01 11:34:00,20170831190,2017-09-01 11:34:00,Div11-DD-208-2,Division 11,DIV11-DD,DIV11-DD-208
bm_20141215142_2017-08-26 06:30:00,20141215142,2017-08-26 06:30:00,DIV15-KE-KENDALL CO-GENERAL,Division 15,DIV15-KE,DIV15-KE-KENDALL CO
bm_20170324184_2017-09-16 08:30:00,20170324184,2017-09-16 08:30:00,DIV 15-MRCR-MERCER CO-GENERAL,Division 15,DIV15-MRCR,DIV15-MRCR-MERCER CO
bm_20130608013_2017-09-04 08:00:00,20130608013,2017-09-04 08:00:00,DIV15-KE-KENDALL CO-GENERAL,Division 15,DIV15-KE,DIV15-KE-KENDALL CO
bm_20170131202_2017-05-19 08:30:00,20170131202,2017-05-19 08:30:00,Div11-CJ-404-2,Division 11,DIV11-CJ,DIV11-CJ-404
bm_20170523187_2017-09-01 11:30:00,20170523187,2017-09-01 11:30:00,DIV4-P2-203-1,Division 4,DIV4-P2,DIV4-P2-203
bm_20170707108_2017-09-12 09:36:00,20170707108,2017-09-12 09:36:00,DIV2-D3-FF-14,Division 2,DIV2-D3,DIV2-D3-FF
bm_20170716167_2017-09-22 18:00:00,20170716167,2017-09-22 18:00:00,DIV08-5D-D3-31,Division 8 RTU,DIV08-5D,DIV08-5D-D3
bm_20170129178_2017-09-16 11:30:00,20170129178,2017-09-16 11:30:00,DIV10-1D-1406-1,Division 10,DIV10-1D,DIV10-1D-1406
bm_20160320189_2017-09-10 23:00:00,20160320189,2017-09-10 23:00:00,DIV9-1G-1086-1,Division 9,DIV9-1G,DIV9-1G-1086
bm_20160603240_2017-09-08 18:30:00,20160603240,2017-09-08 18:30:00,DIV9-3G-3091-1,Division 9,DIV9-3G,DIV9-3G-3091
bm_20160805222_2017-09-19 07:30:00,20160805222,2017-09-19 07:30:00,DIV9-3H-3260-2,Division 9,DIV9-3H,DIV9-3H-3260
bm_20150507039_2017-09-08 23:00:00,20150507039,2017-09-08 23:00:00,DIV9-3H-3058-1,Division 9,DIV9-3H,DIV9-3H-3058
bm_20170909164_2017-09-23 05:30:00,20170909164,2017-09-23 05:30:00,DIV 15-HP-HOSPITAL-GENERAL,Division 15,DIV15-HP,DIV15-HP-HOSPITAL
bm_20170321211_2017-09-06 02:00:00,20170321211,2017-09-06 02:00:00,DIV10-2C-2302-2,Division 10,DIV10-2C,DIV10-2C-2302
bm_20150205173_2017-09-16 17:30:00,20150205173,2017-09-16 17:30:00,DIV10-2C-2323-2,Division 10,DIV10-2C,DIV10-2C-2323
bm_20160107208_2017-09-09 19:00:00,20160107208,2017-09-09 19:00:00,DIV10-2C-2324-2,Division 10,DIV10-2C,DIV10-2C-2324
bm_20111128041_2017-09-22 18:30:00,20111128041,2017-09-22 18:30:00,DIV 15-HP-HOSPITAL-GENERAL,Division 15,DIV15-HP,DIV15-HP-HOSPITAL
bm_20130425043_2017-09-07 18:00:00,20130425043,2017-09-07 18:00:00,DIV9-3F-3232-1,Division 9,DIV9-3F,DIV9-3F-3232
bm_20170909164_2017-09-12 20:00:00,20170909164,2017-09-12 20:00:00,DIV2-D2-T-12,Division 2,DIV2-D2,DIV2-D2-T
bm_20170715189_2017-08-02 18:00:00,20170715189,2017-08-02 18:00:00,DIV6-1A-3-1,Division 6,DIV6-1A,DIV6-1A-3
